time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-23 00:00:00+00:00,5,4,7,1
2024-02-24 00:00:00+00:00,1,1,0,0
2024-02-26 00:00:00+00:00,1,1,0,0
2024-03-08 00:00:00+00:00,9,6,125,1
